week_index,theme,subject,body,product_line,channel,attachment_kb
2,how_to,[how_to] Reset SSO for contractor #1,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Bravo,chat,0
20,performance,[performance] Dashboard loads slowly #2,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Charlie,chat,0
17,account,[account] Cannot add new seat #3,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Alpha,email,0
11,performance,[performance] Dashboard loads slowly #4,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Alpha,email,0
11,account,[account] Cannot add new seat #5,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Charlie,email,120
22,performance,[performance] Dashboard loads slowly #6,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,chat,0
2,account,[account] Cannot add new seat #7,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Bravo,chat,450
18,billing,[billing] Invoice total mismatch #8,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Bravo,chat,0
5,performance,[performance] Dashboard loads slowly #9,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Charlie,email,0
2,bug,[bug] Export fails intermittently #10,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Bravo,phone,0
13,how_to,[how_to] Reset SSO for contractor #11,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Bravo,phone,0
25,performance,[performance] Dashboard loads slowly #12,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Alpha,email,0
19,account,[account] Cannot add new seat #13,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Alpha,email,120
19,account,[account] Cannot add new seat #14,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Charlie,email,0
18,bug,[bug] Export fails intermittently #15,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,phone,0
20,performance,[performance] Dashboard loads slowly #16,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,email,0
13,performance,[performance] Dashboard loads slowly #17,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,chat,0
3,bug,[bug] Export fails intermittently #18,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Charlie,chat,120
21,billing,[billing] Invoice total mismatch #19,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,phone,0
11,billing,[billing] Invoice total mismatch #20,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Alpha,email,0
13,performance,[performance] Dashboard loads slowly #21,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,phone,900
